year,oes,name,obl,emin,emax,ecur,H,ecurdis,Hdis,etp,kobl,kcur
2026,1,Архангельская обл.,1,6313,6313,6313.00010809579,3945.37848140478,6313.00010809579,3945.37848140478,4657.41406849766,0.993370127127385,
2026,1,Республика Коми,4,10053,10053,10052.9995638942,4018.01755565361,10052.9995638942,4018.01755565361,2263.22194356151,1.03946070540255,
2026,1,Калининградская обл.,10,5099,5099,5099,2666.95259215867,5099,2666.95259215867,327.656316741285,0.961816729100354,
2026,1,прочие,101,,,39565.5150727651,4058.91074193082,39565.5150727651,,19338.8736284746,0.996429270699317,
2026,2,Московская обл.,18,78646,78646,78646,5197.46068167189,78646,5197.46068167189,40912.3978723688,1,
2026,2,прочие,102,0,0,88233.0473334029,4270.80816037446,88233.0473334029,,20829.5400958236,1,
2026,4,Крым,77,8178,8178,7568.30812878354,4410.89865416159,7568.30812878354,4410.89865416159,27.8344210840973,1.08055854239043,
2026,4,прочие,104,,,57010.1542415697,4449.22297949708,57010.1542415697,,7376.1023457968,0.989305556539402,
2026,5,Тюмень,53,108484,108500,109908.858155129,6241.87220147167,109908.858155129,6241.87220147167,6670.47140227921,1,
2026,5,прочие,105,0,0,171001.199105941,5267.32273553194,171001.199105941,,35744.2701086442,1,
2026,6,Иркутск,60,20430,20440,20440.0000000646,4902.38403608784,20440.0000000646,4902.38403608784,7591.97017700023,1,
2026,6,Бурятия,61,7110,7120,7120,4983.30732028248,7120,4983.30732028248,858.68,1,
2026,6,Чита,62,7400,7400,7400.00003134749,4642.99161208903,7400.00003134749,4642.99161208903,1922.75859059217,1,
2026,6,прочее,106,0,0,107113.924418655,5356.01490381953,107113.924418655,0,28107.8173925701,1,
2026,7,ЦЭР Якутии,79,2885,2890,2890,4906.20490620491,2890,4906.20490620491,15.1163319981272,1,
2026,7,прочие,107,0,0,37902.2461289928,5110.15108823491,37902.2461289928,0,8306.56629206618,1,
2026,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,2.43414649128581,
2026,9,Камчатка,67,1751,1751,1750.99999965971,3981.35516066327,1750.99999965971,3981.35516066327,554.079861116723,1.14423150288961,
2026,9,Сахалин,68,2581.9,2581.9,2581.90001780448,4062.08851322823,2581.90001780448,4062.08851322823,635.44,1.11205250466385,
2026,9,Анадырь,82,134,134,133.999665929876,1964.80448577531,133.999665929876,1964.80448577531,27.0242915257336,1.10150282161872,
2026,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,0.875874092904487,
2026,9,прочее,109,0,0,,,,0,,,
2027,1,Архангельская обл.,1,6404,6404,6403.99950850916,4078.72078753529,6403.99950850916,4078.72078753529,4603.95288434884,1.04172311187045,
2027,1,Республика Коми,4,10230,10230,10229.9995385739,4088.76151630864,10229.9995385739,4088.76151630864,2263.22194356151,1.05366441135524,
2027,1,Калининградская обл.,10,5311,5311,5311,2777.83589271518,5311,2777.83589271518,327.656316741285,0.984528618640112,
2027,1,прочие,101,,,39618.6162574433,4064.35823752144,39618.6162574433,,19338.8736284746,0.982438896409935,
2027,2,Московская обл.,18,80192,80192,80192,5286.35522841047,80192,5286.35522841047,40729.842081554,1,
2027,2,прочие,102,0,0,91498.16057881,4430.13841525825,91498.16057881,,20778.7101155514,1,
2027,4,Крым,77,8714,8714,8569.231,4746.39197527445,8569.231,4746.39197527445,27.8344210840973,1,
2027,4,прочие,104,,,58836.1517403753,4595.31495121301,58836.1517403753,,7375.75300576174,1,
2027,5,Тюмень,53,108626,108900,105249.354298849,5968.60975730201,105249.354298849,5968.60975730201,6624.87644013994,1,
2027,5,прочие,105,0,0,163017.566166578,5012.00356701146,163017.566166578,,35527.6919403493,1,
2027,6,Иркутск,60,20430,20440,20440.0000076827,4902.38403791497,20440.0000076827,4902.38403791497,7618.73476870143,1,
2027,6,Бурятия,61,7110,7115,7115.00000001053,4979.80780672223,7115.00000001053,4979.80780672223,858.68,1,
2027,6,Чита,62,7400,7400,7400.0002200785,4642.99173050477,7400.0002200785,4642.99173050477,1922.75859059217,1,
2027,6,прочее,106,0,0,108500.954195756,5415.89214411819,108500.954195756,0,28250.0792569075,1,
2027,7,ЦЭР Якутии,79,2910,2930,2930,4974.1108564638,2930,4974.1108564638,15.1163319981272,1,
2027,7,прочие,107,0,0,38009.1225497573,5042.97073122207,38009.1225497573,0,8905.23935914642,1,
2027,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,0.397403961872595,
2027,9,Камчатка,67,1854,1854,1854.00000015395,4215.55252422454,1854.00000015395,4215.55252422454,561.454861116723,1.06239539423519,
2027,9,Сахалин,68,2581.9,2581.9,2581.89998351918,3765.84902403437,2581.89998351918,3765.84902403437,635.44,0.957569808367177,
2027,9,Анадырь,82,134,134,134.000277397522,1964.81345157657,134.000277397522,1964.81345157657,27.0242915257336,0.952132802412011,
2027,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,0.775924243343743,
2027,9,прочее,109,0,0,,,,0,,,
2028,1,Архангельская обл.,1,6502,6502,6501.9993088861,4141.13706699325,6501.9993088861,4141.13706699325,4649.7767564764,1.06316178678194,
2028,1,Республика Коми,4,10302,10302,10301.9995089592,4117.53871292304,10301.9995089592,4117.53871292304,2263.22194356151,1.05844541158512,
2028,1,Калининградская обл.,10,5435,5435,5435,2842.692162852,5435,2842.692162852,327.656316741285,0.999527160231175,
2028,1,прочие,101,,,39640.6884551629,4066.62255988038,39640.6884551629,,19338.8736284746,0.976000495006515,
2028,2,Московская обл.,18,83105,83105,83105.0000001522,5085.66784693686,83105.0000001522,5085.66784693686,40912.3978723688,1,
2028,2,прочие,102,0,0,98351.3852389382,4748.16265295775,98351.3852389382,,20817.0726153913,1,
2028,4,Крым,77,8729,8829,8484.70386578728,4699.57343210294,8484.70386578728,4699.57343210294,27.8344210840973,1.02879253514054,
2028,4,прочие,104,,,59569.247827018,4616.87354326911,59569.247827018,,7329.71088612362,0.995898955532859,
2028,5,Тюмень,53,109523,109600,109553.025665219,6208.44273124599,109553.025665219,6208.44273124599,6700.39608246221,1,
2028,5,прочие,105,0,0,158602.099948426,4997.2432013714,158602.099948426,,35549.2243033284,1,
2028,6,Иркутск,60,20440,20440,20440.0000014883,4902.3840364293,20440.0000014883,4902.3840364293,7643.37840810235,1,
2028,6,Бурятия,61,7115,7115,7115.00000000046,4979.80780671519,7115.00000000046,4979.80780671519,858.68,1,
2028,6,Чита,62,7400,7400,7400.0001644952,4642.99169563007,7400.0001644952,4642.99169563007,1922.75859059217,1,
2028,6,прочее,106,0,0,108937.717087887,5437.69343364477,108937.717087887,0,28457.9653824489,1,
2028,7,ЦЭР Якутии,79,,,,,,,,1,
2028,7,прочие,107,,,,,,,,1,
2028,9,Магадан,66,186.13248,186.13248,186.1329,581.6653125,186.1329,581.6653125,144.45,0.891942378726504,
2028,9,Камчатка,67,1859,1859,1859.00000743878,4226.92134479031,1859.00000743878,4226.92134479031,567.328259264946,1.44315986905876,
2028,9,Сахалин,68,2906.9,2906.9,2906.89999999377,4239.88016492457,2906.89999999377,4239.88016492457,635.44,1.17617974782802,
2028,9,Анадырь,82,134,134,134.000290911368,1964.8136497268,134.000290911368,1964.8136497268,27.0270002056861,1.25830611472034,
2028,9,ЧБЭУ,83,151,151,150.99,2745.27272727273,150.99,2745.27272727273,2.88,1.64062759865796,
2028,9,прочее,109,0,0,,,,0,,,
2029,1,Архангельская обл.,1,6524,6524,6523.99939108815,4155.14896572712,6523.99939108815,4155.14896572712,4657.41406849766,1.05882359034353,
2029,1,Республика Коми,4,10337,10337,10336.9996070637,4131.52767290854,10336.9996070637,4131.52767290854,2263.22194356151,1.05098213804057,
2029,1,Калининградская обл.,10,5496,5496,5496,2874.59726348383,5496,2874.59726348383,327.656316741285,0.995991532237809,
2029,1,прочие,101,,,40067.3693035302,4110.39450308974,40067.3693035302,,19338.8736284746,0.978998314234057,
2029,2,Московская обл.,18,83556,83556,83556,5028.64103437526,83556,5028.64103437526,41458.4303497134,1,
2029,2,прочие,102,0,0,96539.5563278674,4653.95157582432,96539.5563278674,,20810.7726153913,1,
2029,4,Крым,77,9353,9353,9353.00000000378,4606.4361068172,9353.00000000378,4606.4361068172,27.8344210840973,0.930366845882872,
2029,4,прочие,104,,,61936.9727197455,4714.51455784046,61936.9727197455,,7329.49967731372,1.01106074300977,
2029,5,Тюмень,53,109409,109600,111212.12404061,6304.42924268531,111212.12404061,6304.42924268531,6732.35269317861,1,
2029,5,прочие,105,0,0,172194.936770657,5415.38844448732,172194.936770657,,36113.0424892749,1,
2029,6,Иркутск,60,20440,20440,20440.0000084755,4902.38403810512,20440.0000084755,4902.38403810512,7666.14142712609,1,
2029,6,Бурятия,61,7115,7115,7115.00000001086,4979.80780672247,7115.00000001086,4979.80780672247,858.68,1,
