Name	Type	Connect	SourceTable	RecordCount
chasti_i_celoe	TABLE			26
GTD	LINK	;DATABASE=F:\Базы данных\Новое оборудование.mdb	GTD	-1
main	TABLE			0
ManufG	TABLE			39
ManufK	TABLE			20
ManufP	TABLE			10
PRES	LINK	dBase IV;HDR=NO;IMEX=2;DATABASE=F:\База Павловская\Вариант 1162	PRES.DBF	-1
SLEES	LINK	dBase IV;HDR=NO;IMEX=2;DATABASE=F:\База Павловская\Схема	SLEES.DBF	-1
SLRAZ	LINK	dBase IV;HDR=NO;IMEX=2;DATABASE=F:\База Павловская	SLRAZ.DBF	-1
STAN	LINK	dBase IV;HDR=NO;IMEX=2;DATABASE=F:\Генсхема2010\Базовый вариант 04_10	STAN.DBF	-1
АПБ_2009	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	АПБ_2009	-1
АПБ_выработка	TABLE			88
АПБ-ОТЭТ	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	АПБ-ОТЭТ	-1
АЭС	LINK	;DATABASE=F:\Базы данных\не_ТЭС.mdb	АЭС	-1
Вставки в натуру	TABLE			0
Выбросы ЗВ	TABLE			2664
Выбросы ПГ	TABLE			2604
ГАЭС	LINK	;DATABASE=F:\Базы данных\не_ТЭС.mdb	ГАЭС	-1
Годы	TABLE			27
Города	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	Города	-1
ГЭС	LINK	;DATABASE=F:\Базы данных\не_ТЭС.mdb	ГЭС	-1
Действующие_части_отсут_в_отчете	TABLE			57
Дефициты	TABLE			1299
Дефициты_год_ОЭС	TABLE			18
Добавить 2025	TABLE			52
Доп_угли(архив)	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	Доп_угли(архив)	-1
Доп_угли(макет)	TABLE			0
Доп_угли(старый)	TABLE			6988
Доп_угли(Схема)	TABLE			23688
Доп_угли(Схема)_ГС	LINK	;DATABASE=F:\Базы данных\ГенСх_2024_2 этап.mdb	Доп_угли(Схема)	-1
Доп_угли(Схема)24-29	LINK	;DATABASE=F:\Базы данных\СиПР ЭЭС 2029_3 этап.mdb	Доп_угли(Схема)	-1
Доп_угли_Катя	LINK	;DATABASE=F:\Базы данных\ЛБ\СиПР ЭЭС_2031_Сибирь.mdb	Доп_угли(Схема)	-1
Доп_угли2018	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	Доп_угли2018	-1
Доп_угли2019	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	Доп_угли2019	-1
Доп_угли2020	LINK	;DATABASE=F:\Базы данных\ОТЭТ.mdb	Доп_угли2020	-1
