numb1120	v	year	formtxt
99	0	2024	maztop=1,01;gaz_prir
99	0	2022	maztop=0,33;gaz_prir
99	0	2021	maztop=0,49;gaz_prir
99	0	2023	maztop=1,05;gaz_prir
100	0	2024	maztop=0,16;gaz_prir
100	0	2023	maztop=0,09;gaz_prir
100	0	2022	gaz_prir
100	0	2021	maztop=0,35;gaz_prir
102	0	2024	maztop=0,01;gaz_prir
102	0	2022	maztop=0,07;gaz_prir
102	0	2021	gaz_prir
102	0	2023	maztop=0,06;gaz_prir
108	0	2024	maztop=0,37;gaz_prir
108	0	2021	maztop=0,07;gaz_prir
109	0	2023	gaz_prir
109	0	2024	gaz_prir
109	0	2022	gaz_prir
109	0	2021	gaz_prir
127	0	2026	gaz_prir
299	0	2021	gaz_prir
299	0	2025	gaz_prir
299	0	2023	gaz_prir
299	0	2024	gaz_prir
299	0	2022	gaz_prir
301	0	2024	prochgaz=24,00;gaz_prir
301	0	2022	maztop=0,01;prochgaz=9,02;gaz_prir
301	0	2023	prochgaz=13,57;gaz_prir
301	0	2025	gaz_prir=94;prochgaz
301	0	2021	maztop=0,01;prochgaz=10,89;gaz_prir
302	0	2021	gaz_prir
302	0	2024	gaz_prir
302	0	2022	gaz_prir
302	0	2023	gaz_prir
304	0	2023	gaz_prir
304	0	2022	gaz_prir
304	0	2021	kuznt=2,05;gaz_prir
304	0	2024	gaz_prir
305	0	2021	gaz_prir
305	0	2023	gaz_prir
305	0	2022	gaz_prir
305	0	2024	gaz_prir
309	0	2023	gaz_prir
309	0	2021	maztop=0,55;gaz_prir
309	0	2022	gaz_prir
309	0	2024	gaz_prir
310	0	2022	gaz_prir
310	0	2023	gaz_prir
310	0	2021	gaz_prir
310	0	2024	gaz_prir
311	0	2024	gaz_prir
311	0	2023	gaz_prir
311	0	2022	gaz_prir
312	0	2022	gaz_prir
312	0	2021	maztop=0,01;gaz_prir
312	0	2024	maztop=0,01;gaz_prir
312	0	2023	gaz_prir
315	0	2022	gaz_prir
315	0	2021	gazpp=27,45;gaz_prir
315	0	2023	gaz_prir
315	0	2024	gazpp=21,68;gaz_prir
318	0	2023	gaz_prir
318	0	2024	gaz_prir
318	0	2022	gaz_prir
318	0	2021	gaz_prir
319	0	2022	gaz_prir
319	0	2024	gaz_prir
319	0	2021	gaz_prir
319	0	2023	maztop=0,37;gaz_prir
320	0	2021	gaz_prir
320	0	2023	gaz_prir
320	0	2024	gaz_prir
320	0	2022	gaz_prir
323	0	2024	gaz_prir
323	0	2023	maztop=0,08;gaz_prir
323	0	2021	maztop=0,07;gaz_prir
323	0	2022	maztop=0,05;gaz_prir
325	0	2021	maztop=0,03;gaz_prir
325	0	2023	maztop=0,02;gaz_prir
325	0	2024	maztop=0,12;gaz_prir
325	0	2022	maztop=0,03;gaz_prir
327	0	2021	gaz_prir
327	0	2022	gaz_prir
327	0	2023	gaz_prir
327	0	2024	gaz_prir
328	0	2024	maztop=0,11;gaz_prir
328	0	2021	maztop=3,11;gaz_prir
328	0	2023	maztop=0,07;gaz_prir
328	0	2022	maztop=0,08;gaz_prir
329	0	2023	gaz_prir
329	0	2021	maztop=2,65;gaz_prir
329	0	2024	gaz_prir
329	0	2022	gaz_prir
