NUMB1120	YearN	H	HFIX	NUST	OES
7	2021	4661.4	1	182	1
10	2021	4299.6	1	305	1
25	2021	2455.7	1	22	1
43	2021	2445.2	1	23.259	2
55	2021	5693.9	1	20.5	1
78	2021	7227.1	1	20	1
79	2021	5045.1	1	78	1
82	2021	3420.6	1	18	1
86	2021	4740.6	1	22.8	1
90	2021		1	8.5	1
127	2021	0	1		3
204	2021	1073.1	1	24	2
209	2021	4199	1	24.7	2
226	2021	530.2	1	400	2
241	2021	5192.7	1	101.5	2
242	2021	4718.2	1	24	2
273	2021		1	12	2
325	2021	5096.6	1	20.5	3
382	2021		1	16	4
580	2021	3560.1	1	200	6
582	2021	1899.7	1	24	6
612	2021	2651.2	1	84	6
613	2021	679.2	1	85	6
632	2021	5481.3	1	24	6
635	2021	6021.3	1	320	6
638	2021	2365.4	1	19	6
639	2021		1	6	6
641	2021	723.5	1	10	6
683	2021	3622.8	1	410	6
685	2021	570.4	1	18	6
771	2021	154.4	1	27.2	7
777	2021		1	20.32	7
806	2021	2505.4	1	10	4
875	2021	6056.9	1	22	4
993	2021	4708	1	23	1
1041	2021	246.1	1	80.065	7
1060	2021		1	12	4
1061	2021		1	16	4
1063	2021	5952.1	1	44	1
1128	2021	7650.8	1	24	2
1188	2021		1	20	1
1197	2021		1	6	4
1209	2021	2135.3	1	24	6
1248	2021	67.7	1	297.44	6
1265	2021	8377.7	1	7.1	1
1327	2021		1	2.1	2
1333	2021	6505.5	1	12	1
1335	2021	6795.7	1	60	1
1341	2021		1	90	2
1439	2021	7642.3	1	49	3
1443	2021	2189	1	10	6
1561	2021	593.2	1	4	4
1562	2021	4815.8	1	2.114	4
1571	2021	4270.1	1	24	3
1575	2021	2755.6	1	12	6
1593	2021		1	24	6
1771	2021	5800	1	131.91	5
1820	2021		1	110	2
1832	2021	900.6	1	18	2
1841	2021	2755.6	1	9.5	6
1842	2021		1	18	6
1854	2021	2132.1	1	449	6
1950	2021	34.7	1	20.5	6
2060	2021	715	1	12	2
2072	2021	1650.4	1	5.2	3
2074	2021	500	1	9	1
2075	2021	3299.3	1	9	1
3003	2021	2161.3	1	21	1
3011	2021	8480.4	1	206.4	6
3041	2021	5787.1	1	12.45	2
3056	2021	7145.9	1	16	2
3063	2021	6091.1	1	7.276	4
3064	2021	7088.7	1	6.066	6
3068	2021		1	34.5	4
3089	2021	4906.3	1	23.1	3
3095	2021	1369.2	1	10.8	4
3099	2021	2505.9	1	2.7	1
3115	2021	5312.6	1	6.5	1
3132	2021	5300.2	1	12	3
3133	2021	2533.3	1	7.5	2
3136	2021	3121.3	1	6.7	2
3138	2021	8166.4	1	24	6
3139	2021	7279.2	1	24	6
3140	2021	4745.3	1	100	1
3141	2021	5148.1	1	6	1
3142	2021	3102.2	1	2.3	1
3145	2021	3484.3	1	10.4	1
3160	2021	1009.6	1	15	1
3174	2021	4123.9	1	12.1	4
3180	2021	4961.6	1	52.745	4
3181	2021	4305.2	1	2	4
3183	2021	3914.4	1	7.054	4
3202	2021	3987.2	1	10.5	1
3204	2021	5955.6	1	25.218	4
3209	2021	2842.5	1	8.1	4
3214	2021	4117.9	1	12	1
3222	2021	1627.4	1	33.9	4
3226	2021	7646.3	1	48.4	4
3227	2021	3442.5	1	8.18	3
3230	2021		1	1.1	6
7	2022	4545.5	1	178	1
10	2022	4077	1	305	1
25	2022	2456.3	1	22	1
43	2022	2823.6	1	23.259	2
55	2022	6282.8	1	20.5	1
78	2022	6845.1	1	20	1
79	2022	5098.1	1	78	1
82	2022	3297.3	1	18	1
86	2022	4919.6	1	22.8	1
90	2022		1	8.5	1
115	2022	8389.2	1	345.81	2
120	2022	256.3	1	3	2
127	2022	0	1		3
204	2022	1062.1	1	24	2
209	2022	3789.8	1	24.7	2
226	2022	786.3	1	400	2
241	2022	4550.8	1	101.5	2
242	2022	4840.8	1	24	2
273	2022		1	12	2
325	2022	5407.8	1	20.5	3
382	2022		1	16	4
580	2022	3632	1	200	6
582	2022	2792	1	18	6
612	2022	4814.4	1	24	6
613	2022	1749.7	1	85	6
631	2022	2239	1	17	6
632	2022	6035.7	1	24	6
635	2022	6033.6	1	320	6
638	2022	2330.3	1	18.8	6
639	2022		1	6	6
641	2022		1	10	6
683	2022	3802.2	1	410	6
685	2022	565.7	1	18	6
771	2022	106.1	1	27.2	7
772	2022	4360.7	1	12	7
777	2022	0	1		7
856	2022	6009.8	1	16	2
857	2022	6368.2	1	12	2
875	2022	6311	1	22	4
898	2022	1967.3	1	24	5
945	2022	4331.5	1	25.2	1
993	2022	4226.9	1	23	1
1041	2022	103.8	1	82.6	7
1060	2022		1	12	4
1061	2022		1	16	4
1063	2022	5892.7	1	44	1
1128	2022	6334.5	1	24	2
1188	2022		1	20	1
1197	2022		1	6	4
1209	2022	3311.2	1	24	6
1248	2022	254.8	1	297.44	6
1265	2022	8041	1	7.1	1
1266	2022	2464	1	2	3
1321	2022	1029.7	1	141	4
1327	2022		1	2.1	2
1328	2022	6076.6	1	12	2
1333	2022	6018.6	1	12	1
1335	2022	6332.5	1	60	1
1337	2022	6207.2	1	9.75	4
1341	2022		1	90	2
1437	2022	4540.5	1	30	3
1439	2022	6955.7	1	49	3
1443	2022	4690.9	1	10	6
1478	2022	4781.1	1	8.584	1
1561	2022	645.4	1	4	4
1562	2022	4792.1	1	2.114	4
1571	2022	2993.6	1	24	3
1575	2022	801.8	1	12	6
1593	2022		1	24	6
1771	2022	5800	1	131.91	5
1820	2022	0	1	110	2
1826	2022	23.3	1	49.8	7
1832	2022	1058.9	1	18	2
1836	2022	2118	1	7.5	1
1841	2022	3018.8	1	9.5	6
1842	2022		1	18	6
1851	2022		1	13.5	6
1854	2022	2762	1	399	6
1950	2022	116.7	1	20.5	6
2072	2022	5046.1	1	1	3
2073	2022	925.3	1	12	1
2074	2022	1447.6	1	9	1
2075	2022	877.5	1	9	1
3003	2022	2210.9	1	21	1
3011	2022	8850.8	1	206.4	6
3041	2022	5182.7	1	12.45	2
3055	2022	1146.9	1	7.5	2
3056	2022	5859.3	1	16	2
3063	2022	5337	1	7.276	4
3064	2022		1	6.066	6
3068	2022		1	33	4
3087	2022	3904.1	1	24	3
3088	2022	4568.3	1	13.69	2
3089	2022	4865.8	1	23.49	3
3095	2022	1112.3	1	10.8	4
