name	year	filter	e	kplus	kmin	k	bkl	wname	uname	toplname	dopname	byear	kn	knps	kngt	knpg	hnps	hngt	hnpg	numb	WT_RECID	doptim	lim
ТЭС Волгаэнерго	2031	(oes=3) and (ved>0)	68451			0.952236938476563	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.32134719865428	1.15317573700737	1.32134719865428	1.39342068221724	4800	5500	5800	234		0.26	0
ТЭС Волгаэнерго	2026	(oes=3) and (ved>0)	64547	0	0	0.972433471304687	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.40083198080167	1.22254427415419	1.40083198080167	1.55365001507094	4800	5500	6100	229		0.11	0
ТЭС Волгаэнерго	2027	(oes=3) and (ved>0)	65558	0	0	0.961267090585937	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.37965312940239	1.20406091293299	1.37965312940239	1.53016074351901	4800	5500	6100	230		0.14	0
ТЭС Волгаэнерго	2028	(oes=3) and (ved>0)	65989			0.960369873046874	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.37062958163926	1.19618581670335	1.37062958163926	1.54507334657516	4800	5500	6200	231		0.17	0
ТЭС Волгаэнерго	2029	(oes=3) and (ved>0)	67629			0.956414794921876	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.33740553314543	1.16719028347237	1.33740553314543	1.5562537112965	4800	5500	6400	232		0.2	0
ТЭС Волгаэнерго	2030	(oes=3) and (ved>0)	67851			0.954467773695312	410	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.35724679247599	1.16335439355085	1.35724679247599	1.57537574126678	4800	5600	6500	233		0.23	0
ТЭС Южэнерго	2031	(oes=4) and (ved>0)	75438			0.912600708007815	365	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.42786628068436	1.01208757702574	1.10009519241928	1.45212565399345	4600	5000	6600	334		0.26	1
ТЭС Южэнерго	2026	(oes=4) and (ved>0)	64578	0	0	0.90041809082031	365	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.27008444873444	1.03494432884272	1.23743343665977	1.55241649326408	4600	5500	6900	329		0.11	1
ТЭС Южэнерго	2027	(oes=4) and (ved>0)	67660	0	0	0.881579589828122	365	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.20539360512443	1.07624429028967	1.20539360512443	1.48521712059975	5000	5600	6900	330		0.14	0
ТЭС Южэнерго	2028	(oes=4) and (ved>0)	68054			0.916067504882819	365	Станции(Схема)	Удельные(Схема)	Формулы_топлива(Схема)	Доп_угли(Схема)	2024	1.43978824019546	1.25348959585177	1.25348959585177	1.49122038127194	5800	5800	6900	331		0.17	1
