NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v
ТЭС Петербургтеплоэнерго (ГПА)	2024	8.584		38.030746				4430.4	1	89	3	9	1	3606	256.1	0
ТЭС Петербургтеплоэнерго (ВК)	2024							0	1	95	3	9	1	3607	256.2	0
ТЭЦ-2 и 3 Котласского ЦБК	2024	48	35	125.24872	121.4912584	2842.268	1157.05960380952	2609.3		10	3	1	1	11	25	0
Архангельская ТЭЦ	2024	450		1683.738997	1323.673011	2713.059764	2548.761662	3741.6		94	2	1	1	1	1	0
Северодвинская ТЭЦ-1	2024	149.1	149.1	630.871604	437.462044	1223.554	1145.59165	4231.2		93	2	1	1	3	5	0
ТЭЦ-15 Автовская(ВК)	2024					370		0		95	2	9	1	1894	206	0
ТЭЦ-22  Южная(ВК)	2024							0		95	2	9	1	1895	230	0
ТЭЦ Ижорского з-да(котельн)	2024			806.114468		527		0		95	2	9	1	1502	243.5	0
ТЭЦ Ижорского з-да(ПГУ)	2024	104.3		806.114468	806.114468	421	421.17671	7728.8		91	2	9	1	1503	243.75	0
ТЭЦ-5 Правобережная(ВК)	2024					608.527		0		95	2	9	1	1892	184	0
Северодвинская ТЭЦ-2	2024	410		1222.988972	891.112	1732.132	1540.744	2982.9		94	2	1	1	4	7	0
Вельская ТЭЦ	2024	18		114.626641	114.626641	79.140302	79.140302	6368.1		90	2	1	1	992	13	0
ТЭЦ-1 Архангельского ЦБК	2024	182		792.49356	455.817	1654.811	1654.811	4354.4	1	93	3	1	1	7	17	0
ТЭЦ-2 Архангельского ЦБК	2024	12		49.791	49.791	677.568	527.147904	4149.2		10	3	1	1	8	19	0
ТЭЦ-3 Архангельского ЦБК	2024	30		141.54	141.54	1242.644	1242.644	4718		10	3	1	1	9	21	0
ТЭЦ-1 Котласского ЦБК	2024	305		1263.691129	837.19567	3718.201	3718.201	4143.2	1	93	3	1	1	10	23	0
Апатитская ТЭЦ	2024	230		502.046584	481.346721	1524.816	1366.374	2182.8		93	2	2	1	15	33	0
Мурманская ТЭЦ	2024	12		11.111863	11.111863	667.046	69.367	926		92	2	2	1	16	35	0
ТЭЦ Ковдорского ГОКа	2024	8								10	3	2	1	20	43	0
Котельные Южная и Восточная	2024					1528.064		0		95	2	2	1	1022	44.1	0
Петрозаводская ТЭЦ	2024	280		1297.926473	843.032	1749.231	1579.041	4635.5		94	2	3	1	21	45	0
ТЭЦ-1 Сегежского ЦБК (36 МВт)	2024	24	24	101.902	101.902	1110.503	719.536	4245.9	1	92	3	3	1	22	51	0
ТЭЦ-2 Сегежского ЦБК (24 МВт)	2024	24	24	88.577	88.577	1023.915	903.775	3690.7		10	3	3	1	23	53	0
ТЭЦ ЦБК г.Кондопога (60 МВт)	2024	60	60	351.3777	175.3494	688.637	509.301	5856.3	1	93	3	3	1	1335	56	0
ТЭЦ ЦБК г.Кондопога (39 МВт)	2024	48	48	184.55655	184.55655	1191.542	1191.542	3844.9		10	3	3	1	1336	56.5	0
ТЭЦ Питкяранта	2024	22		6.012	6.012	345.253	6.808	273.3	1	92	3	3	1	25	57	0
Печорская ГРЭС	2024	1060	1060	3081.8946	142.249395	253.30133	248.672948	2907.4		3	1	4	1	26	59	0
Воркутинская ТЭЦ-1	2024					1040.87212		0		95	2	4	1	28	65	0
Воркутинская ТЭЦ-2(КЭС-90)	2024	78		291.668832				3739.3		1	1	4	1	30	69	0
Воркутинская ТЭЦ-2(ТЭЦ-90)	2024	192		687.711415	164.982939	374.46188	373.51488	3581.8		93	2	4	1	31	71	0
Интинская ТЭЦ	2024	6		16.446143	16.446143	375.769	149.296	2741		10	2	4	1	33	75	0
