NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
	2031	385	385	803.646353101789	209.588239754742	690	350	2087.39312493971		94	2	11	3	847	293	0	691.393796834414	451.25581254487	311.995469578997	166.677450012005	115.007440508284	427.00291008728	426.960209796272	0.042700291008728	0	0	0	0	0	0
	2031	180	180	1260	278.08767	456.63	456.63	7000		91	2	11	3	1312	296	0	1222.00896436362	265.368556920766	324.282755417415	152.722148682694	69.7375147529784	394.020270170393	394.020270170393	0	0	0	0	0	0	0
	2031	350	350	1151.61527216401	571.086153487022	1451.5	1270	3290.32934904002		94	2	11	3	99	297	0	1003.16288730287	349.77216081879	350.87845074514	153.532730873773	222.852758863281	573.731209608422	567.936524391377	5.79468521704506	0	0	0	0	0	0
	2031	139.1	99.55	844.838279281728	350.236090133676	1228.59	1200	6073.60373315405		94	3	11	3	100	299	0	753.352659589356	373.031726072125	281.024442947643	170.684285229463	209.701005990066	490.725448937709	489.940288219409	0.785160718300335	0	0	0	0	0	0
	2031	205	205	960.332405427222	657.794242733231	2441.947	1268	4684.54831915718		94	2	11	3	102	307	0	842.565785553525	324.578260738989	273.478537233143	170.830175265425	417.158233998878	690.636771232021	690.567707554897	0.0690636771232021	0	0	0	0	0	0
	2031	352	352	2464	0	450	450	7000		90	2	11	3	849	311	0	2365.37437949425	200.212570793743	473.5776854082	147.310901606221	66.2899057227993	539.867591131	539.867591131	0	0	0	0	0	0	0
	2031	480	480	1978.45915542092	1083	3477.5	2850	4793.75		94	2	11	3	108	323	0	1727.18971876435	327	564.791038035943	141.442877778445	491.867607474544	1056.65864551049	1052.7490085221	3.9096369883888	0	0	0	0	0	0
	2031	36	14.34	86.250812396525	86.250812396525	720	450	2395.85589990347		10	3	11	3	109	325	0	71.550424234956	339.085174335788	24.2616880755097	167.900026018719	120.888018733478	145.149706808987	145.149706808987	0	0	0	0	0	0	0
	2031	106.57	106.57	542.706403656683	420.0324896117	1180	1080	5092.48760116996		93	2	11	3	1840	326.5	0	497.472544509526	286.182337490646	142.367855625156	141.361189776925	166.806203936771	309.174059561927	309.174059561927	0	0	0	0	0	0	0
	2031	4.3	4.3	0	0			0	1	24	3	11	3	127	326.55	0	0	0	0		0	0	0	0	0	0	0	0	0	0
	2031	3.55	2.998	25.56	0	15		7200	1	89	2	11	3	3176	326.6	0	24.23088	269.614984391259	6.53300833298647	145.77	2.18655	8.71955833298647	8.71955833298647	0	0	0	0	0	0	0
	2031	24	24	150.708482131743	133.035630130531	750	450	6279.52008882262		92	2	30	3	299	839	0	123.439219508814	385.905228216384	47.6358401754011	140.84	105.63	153.265840175401	153.265840175401	0	0	0	0	0	0	0
	2031	65	65	303.106552697495	117.783347426746	779.43	400	4663.17773380761		93	2	30	3	1296	842	0	266.800702350001	376.88221886197	100.552440695601	144.859029370709	112.907473262412	213.459913958012	213.203762061262	0.256151896749614	0	0	0	0	0	0
	2031	229.5	229.5	1211.58223580503	0			5279.22542834436		20	1	30	3	1297	842.5	0	1155.42062190354	188.991268456593	218.364408934455		0	218.364408934455	218.364408934455	0	0	0	0	0	0	0
	2031	340	323	602.809784954834	430.484291240516	2912.9	2100	1772.96995574951		94	2	30	3	301	843	0	478.998419184337	529.883651693807	253.813431512957	156.536010475775	455.973744914884	709.787176427842	667.199945842171	0	0	0	0	0	0	0
	2031	0	0	0	0	1089.3		4800		95	2	30	3	302	845	0	0	0	0	168.8	183.87384	183.87384	183.87384	0	0	0	0	0	0	0
	2031	145	132	315.694408063202	156.441476559194	900	370	2177.20281422898		94	2	30	3	1205	853.5	0	275.834726781641	342.703205534043	94.5294450656751	155.581789061002	140.023610154902	234.553055220577	234.553055220577	0	0	0	0	0	0	0
	2031	227.4	227.4	1238.48388722021	270	300	180	5446.27918742398		91	2	30	3	1295	854.75	0	1176.33387182449	235.377772031435	276.88284591516	164.463175067124	49.3389525201373	326.221798435297	326.221798435297	0	0	0	0	0	0	0
	2031	495	489	1429.086339422	1101.79404493724	4209.8	3500	2887.04310994344		94	2	30	3	304	855	0	1221.13852291642	371.644250602939	453.829111231653	139.037811699864	585.321379694087	1039.15049092574	1039.15049092574	0	0	0	0	0	0	0
	2031	1172	1172	3735.66932728893	2459.99303618259	4858	4700	3187.43116662878		94	2	30	3	305	857	0	3275.87076717747	340.889078015424	1116.70856552081	134.012172046584	651.031131802307	1767.73969732312	1767.73969732312	0	0	0	0	0	0	0
	2031	330	330	2310	1581	4144	3400	7000		94	2	30	3	1454	862	0	1994.802	271.657972069408	541.903866	142.702812560671	591.360455251419	1133.26432125142	1133.26432125142	0	0	0	0	0	0	0
	2031			0	0	2519.3		4800		95	2	30	3	309	865	0	0	0	0	155.8	392.50694	392.50694	392.50694	0	0	0	0	0	0	0
	2031	30	12.76	90	68.3095021696629	1160	735	3000	1	92	3	30	3	1437	866	0	52.6862768172077	376.490673296461	19.8358918323943	167.356431266363	194.133460268981	213.969352101376	98.2547264849517	52.9788115803006	0	0	0	0	0	0
	2031	2.166	0.001	0.17328	0			80	1	24	4	30	3	2072	866.2	0	0.164616	460	0.07572336		0	0.07572336	0.07572336	0	0	0	0	0	0	0
	2031	24	17.02	97.2	87.316606920793	1200	1000	4050	1	92	3	30	3	3087	866.3	0	85.9505207548959	237.165448935617	20.3844938410849	161.798195171643	194.157834205972	214.542328047057	85.8169312188226	0.107271164023528	0	0	0	0	0	0
	2031	8.2	2.36	18.04	0			2200	1	24	4	30	3	3227	866.54	0	17.8084035028671	278.995191151692	4.96845893938887		0	4.96845893938887	4.96845893938887	0	0	0	0	0	0	0
	2031	23	21	152.897343264872	135.949163689124	712.41	450	6647.71057673356		92	2	31	3	310	867	0	118.653588117316	371.261584869714	44.0515191749129	151.145425868243	107.677512842795	151.729032017708	151.729032017708	0	0	0	0	0	0	0
	2031		0.01	0	0	219.326		4800		95	2	31	3	311	873	0	0	0	0	151.27	33.17744402	33.17744402	33.17744402	0	0	0	0	0	0	0
	2031	109	109	628.239945206691	419.357656709312	1218.956	1000	5763.66922207973		94	2	31	3	312	875	0	520.543748595948	404.156254659627	210.381011819021	170.246238359503	207.522673725746	417.903685544767	417.861895176212	0.0417903685544767	0	0	0	0	0	0
	2031	80	80	383.260123497029	259.083461949424	675.17	590	4790.75154371286		94	2	31	3	315	883	0	324.651347985796	339.611518960502	110.255337422031	142.92721506347	96.5001677944031	206.755505216434	206.755505216434	0	0	0	0	0	0	0
	2031	270	270	722.267887496375	658.009101489655	1528.74	930	2675.06624998658		94	2	31	3	318	891	0	590.075631782006	371.975946495629	219.493941636118	188.081885325693	287.5283013728	507.022243008917	507.022243008917	0	0	0	0	0	0	0
	2031	445	445	1684.47125227119	1144.43516374422	2648.52	2000	3785.3286567892		94	2	31	3	319	897	0	1486.19730105378	297.75820957411	442.527447435649	130.262361628211	345.002470019549	787.529917455198	787.529917455198	0	0	0	0	0	0	0
	2031			0	0	551.202		4800		95	2	31	3	320	899	0	0	0	0	169.08	93.19723416	93.19723416	93.19723416	0	0	0	0	0	0	0
	2031	49	45	378.231	179.143792381101	757.826	757	7719	1	92	3	31	3	1439	900	0	362.395487530388	32.6336389427413	11.8262834945454	0.01	0.00757826	11.8338617545454	0	0	0	0	0	0	0	0
	2031	435	435	1455.81522627321	781.052707166564	2459.1	2150	3346.70166959359		94	2	32	3	1684	902	0	1288.2132865221	293.696309525404	378.343488133134	152.796672401542	375.742297102633	754.085785235767	754.085785235767	0	0	0	0	0	0	0
