NAME	DBTYPE_WLONGVARCHAR
YEAR	DBTYPE_R8
NUST	DBTYPE_R8
NR	DBTYPE_R8
E	DBTYPE_R8
EOTP	DBTYPE_R8
EURT	DBTYPE_R8
EUST	DBTYPE_R8
Q	DBTYPE_R8
TURT	DBTYPE_R8
TUST	DBTYPE_R8
B	DBTYPE_R8
GAZ	DBTYPE_R8
ISK_GAZ	DBTYPE_R8
MAZUT	DBTYPE_R8
TORF	DBTYPE_R8
SLAN	DBTYPE_R8
PROCH	DBTYPE_R8
UGOL	DBTYPE_R8
DON	DBTYPE_R8
PODM	DBTYPE_R8
PECH	DBTYPE_R8
ALT	DBTYPE_R8
KUZN	DBTYPE_R8
URAL	DBTYPE_R8
BASHK	DBTYPE_R8
KAZAH	DBTYPE_R8
KAN	DBTYPE_R8
TUNG	DBTYPE_R8
IRKUT	DBTYPE_R8
HAK	DBTYPE_R8
TUV	DBTYPE_R8
BUR	DBTYPE_R8
CHIT	DBTYPE_R8
TAL	DBTYPE_R8
AMUR	DBTYPE_R8
URG	DBTYPE_R8
USHUM	DBTYPE_R8
PRIM	DBTYPE_R8
YAKUT	DBTYPE_R8
MAG	DBTYPE_R8
KAMCH	DBTYPE_R8
CHUKOT	DBTYPE_R8
SAH	DBTYPE_R8
QOTR	DBTYPE_R8
SNK	DBTYPE_R8
EWTP	DBTYPE_R8
NT	DBTYPE_R8
NTsum	DBTYPE_R8
OBOR	DBTYPE_R8
H	DBTYPE_R8
HFIX	DBTYPE_R8
VED	DBTYPE_R8
вед	DBTYPE_R8
OBL	DBTYPE_R8
DEP	DBTYPE_R8
OES	DBTYPE_R8
ER	DBTYPE_R8
NUMB1120	DBTYPE_R8
numb1	DBTYPE_R8
v	DBTYPE_I2
BE	DBTYPE_R8
GK	DBTYPE_R8
