numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
99	0	2021	418.136207914225	6.68316710993578	0.82398814873685	362.34044355955	260.614889111214	0	0	0	0
100	0	2021	320.824608953853	5.64110156837429	0.835722430259363	428.6927370571	316.307184108355	0	0	0	0
102	0	2021	700	4.20286516607433	0.873217179822805	379.811892189049	257.697931177971	0	0	0	0
109	0	2021	205.668611854354	1.60282767938937	0.859401251401548	180.341911121629	180.341911121629	0	0	0	0
108	0	2021	419.946200369464	6.74788333640094	0.838227843407229	376.238184047193	283.293601671278	0	0	0	0
299	0	2021	315.274931301639	4.59290104273967	0.802782766367362	466.519666505092	372.199393195103	0	0	0	0
301	0	2021	218.510836983088	8.39466662851814	0.781224303499512	499.546780802934	382.43332398031	0	0	0	0
302	0	2021	329.286137874202	7.67	0.684941857772684	488.979364244005	380.970005796681	0	0	0	0
304	0	2021	300.295478596572	6.30541410437424	0.842598446083966	433.216482719651	342.029152338278	0	0	0	0
305	0	2021	521.223279772376	5.99724452047885	0.854904943787356	378.090141179978	285.555043789312	0	0	0	0
309	0	2021						0	0	0	0
310	0	2021	291.196953611201	4.89863565388804	0.741701871375687	375.61572555351	375.61572555351	0	0	0	0
311	0	2021	129.7048028	6.703039751	0.620300977	577.1312585	577.1312585	0	0	0	0
312	0	2021	422.189957396299	7.43823770304985	0.815315870601329	436.369424167492	334.815813420878	0	0	0	0
315	0	2021	430.633200808717	8.42746929300186	0.800479000584127	396.578473265892	296.000494085321	0	0	0	0
318	0	2021	621.784078476459	8.50536683656476	0.814226258090358	482.977273447083	356.340670782531	0	0	0	0
319	0	2021	572.217581872111	5.78117168461626	0.854029705593598	370.797671009109	259.734553418665	0	0	0	0
320	0	2021						0	0	0	0
323	0	2021	472.977335095741	4.97828619707573	0.840258839528847	339.803682210815	238.192635735599	0	0	0	0
325	0	2021	99.310887174482	3.10812743169713	0.358083579627147	300.614303819189	211.820876703786	0	0	0	0
327	0	2021	496.91098425392	8.2617762853147	0.825467226034548	492.827750143118	388.968231259774	0	0	0	0
328	0	2021	567.963240460097	5.64665275973487	0.854996046937816	355.640009351001	244.283926046737	0	0	0	0
329	0	2021	173.190607628016	4.13100270978514	0.670290130042901	342.254590501309	342.254590501309	0	0	0	0
330	0	2021	200	6.6	0.393844004019829	236.022924544006	236.022924544006	0	0	0	0
331	0	2021						0	0	0	0
332	0	2021	0	7.02285160248536	0	367.958327808949	0				
340	0	2021	384.601749872801	6.97607400058612	0.839076505484281	423.430799190024	302.428389841496	0	0	0	0
343	0	2021	378.845750916338	7.8379798429381	0.823296759562804	409.214270835246	278.897079662019	0	0	0	0
344	0	2021						0	0	0	0
346	0	2021	511.893265919282	4.84209693490659	0.893427045596291	367.857864948002	251.974807824712	0	0	0	0
347	0	2021	315.331584806421	4.02723931766138	0.877388977024829	425.530664165477	268.636768003832	0	0	0	0
350	0	2021	119.48796687255	12	0.779995132635678	216.6	216.6	0	0	0	0
352	0	2021	521.655359212689	4.9785846824084	0.857345253800544	332.092888510955	248.601909750021	0	0	0	0
354	0	2021	40.6818524590164	29.4807810950466	0.705192189049534	445.714285714286	445.714285714286	0	0	0	0
355	0	2021	149.377675520833	13.2442317447055	0.867557682552945	450.745820271682	300.745820271682	0	0	0	0
357	0	2021	543.486389440628	6.26555997356458	0.873643092492384	379.434545753221	274.731320249057	0	0	0	0
358	0	2021	531.519181313516	8.61253795464795	0.802253428091343	550.379647380823	432.415826134545	0	0	0	0
362	0	2021	522.223979890727	7.00731306057702	0.845105511241731	411.69358632397	299.206486352621	0	0	0	0
363	0	2021	444.346946344831	6.65885275658992	0.838833684316686	412.881129130009	301.594936016017	0	0	0	0
433	0	2021						0	0	0	0
847	0	2021	535.69856870429	10.1145816867806	0.727071304976824	440.904870297336	344.733259209399	0	0	0	0
849	0	2021	112	3.8016362285343	0	201.805524884297	0	0	0	0	0
1094	0	2021	1384.65421296972	3.57143036754732	0.945508772764639	232.479567107878	183.177600638668	0	0	0	0
1095	0	2021	309.917470239705	5.8346364770296	0.842123589077614	483.817592303478	360.737187253183	0	0	0	0
1202	0	2025						0	0	0	0
1205	0	2021	353.815837261903	8.13036621692658	0.755076974664655	429.300055292526	334.652906713468	0	0	0	0
1231	0	2021	1053.52810394529	10.0087211634905	0.855849214309595	278.473891973928	278.473891973928	0	0	0	0
1245	0	2021	161.482510740263	1.63954448073614	0.9248849787518	350.7789285816	350.7789285816	0	0	0	0
1295	0	2021	1465.01464076806	2.50197088174047	0.936713495754764	244.412265115368	175.704359949872	0	0	0	0
1296	0	2021	259.6190116937	4.00769909768537	0.789578536326694	389.908979010088	269.252329499877	0	0	0	0
1297	0	2021	0	4.35105495912162	0	198.131001231859	0	0	0	0	0
1298	0	2021	2747	4.05219950787507	0.940101643365769	215.111324194916	106.39623577406	0	0	0	0
1312	0	2021	993.514271380926	1.77142398295614	0.944592706008364	264.486048810918	215.345397855049	0	0	0	0
1437	0	2021	166.457124600205	4.16613025353286	0.650480381240809	385.382662697019	297.078767750242	0	0	0	0
1439	0	2021	0	3.1	0		0	0	0	0	0
1440	0	2021	172.531082049942	2.39	0.905679219147634	173.57	173.57	0	0	0	0
1441	0	2021	167.479735465035	1.46	0.850013923698134	149.98	149.98	0	0	0	0
1442	0	2021	0		0		0	0	0	0	0
1454	0	2021	462.368280984276	3.9871758430797	0.831629844974965	328.519507574283	248.818903568666	0	0	0	0
1571	0	2021	0	1.67985714703902	0	156.854431657581	0	0	0	0	0
1580	0	2021	0		0		0	0	0	0	0
1588	0	2021	644.987528940687	1.50417140657298	0.972845539170123	258.001265585868	258.001265585868	0	0	0	0
1594	0	2021	4286.79177451826	0.991928084951863	0.979492819310325	487.392289318291	378.098964618593	0	0	0	0
1595	0	2021	0	8.29312441598733	0.782717463921522	319.934786202967	239.960954627688	0	0	0	0
1684	0	2021	431.786967728436	5.39241338538481	0.861086679481203	276.33148906821	276.33148906821	0	0	0	0
1751	0	2021	1284.7784565186	4.20504012118455	0.937557415079838	253.867171790608	174.777704383779	0	0	0	0
1840	0	2021	373.101257599586	3.16464369834963	0.897844842582602	346.90858803745	253.236510845191	0	0	0	0
1888	0	2021									
1889	0	2021									
1961	0	2021	310.861390881078	6.81402459286541	0.840386929481421	465.785853824077	364.37132782798	0	0	0	0
1962	0	2021									
3046	0	2021						0	0	0	0
3087	0	2021	83.2763863566799	1.44256318778453	0.855752270725174	212.698909194466	212.698909194466	0	0	0	0
3089	0	2021	0	1.9604	0	211.52	0	0	0	0	0
3132	0	2021	0	6.56	0	959.32	0	0	0	0	0
3155	0	2021	982.470602599096	2.98375626086224	0.947860650702206	221.151572666191	221.151572666191	0	0	0	0
3170	0	2021	0	0.56	0	286.13	0	0	0	0	0
3171	0	2021	1173.16795482215	6.50903696527504	0.933372353916691	263.777966785838	263.777966785838	0	0	0	0
3172	0	2021		3.5		250		0	0	0	0
3176	0	2021	0	4.72	0	270	0	0	0	0	0
3184	0	2021	0		0		0	0	0	0	0
3185	0	2021	514.452946840318	2.30306254124925	0.967099106553582	338.612913411491	338.612913411491	0	0	0	0
3203	0	2021	0		0		0	0	0	0	0
3227	0	2021	0	2	0	370.006667439703	0	0	0	0	0
3228	0	2021	0		0		0	0	0	0	0
99	0	2022	431.200184997147	6.58237428221331	0.829179337572454	368.894814096754	266.898677131345	0	0	0	0
100	0	2022	291.053879212079	6.52957626042559	0.821856406100908	412.995030699628	300.274356299657	0	0	0	0
102	0	2022	831.09433661631	3.94828832772836	0.895521361902383	356.501824930689	233.319331867527	0	0	0	0
109	0	2022	195.478072590505	1.76750919538913	0.844955140251169	178.829914777084	178.829914777084	0	0	0	0
127	0	2022						0	0	0	0
108	0	2024	408	7.53899326790829	0.828406818090396	388.251199429305	295.357732469292	0	0	0	0
299	0	2022	305.630463504244	4.49000455908155	0.799936218991408	468.537134065197	375.213829709825	0	0	0	0
301	0	2022	211.553649543935	8.81257433523065	0.775300307945616	507.510215218221	390.871760006453	0	0	0	0
304	0	2022	306.960490140408	6.18735736279659	0.843533753866817	424.13095817016	332.913681097698	0	0	0	0
305	0	2022	525.285609381341	5.89377118587003	0.853875980489427	382.502871405252	289.944459688756	0	0	0	0
