"TABLE_NAME","TABLE_TYPE"
"MSysAccessStorage","ACCESS TABLE"
"MSysAccessXML","ACCESS TABLE"
"MSysIMEXColumns","ACCESS TABLE"
"MSysIMEXSpecs","ACCESS TABLE"
"MSysNameMap","ACCESS TABLE"
"MSysNavPaneGroupCategories","ACCESS TABLE"
"MSysNavPaneGroups","ACCESS TABLE"
"MSysNavPaneGroupToObjects","ACCESS TABLE"
"MSysNavPaneObjectIDs","ACCESS TABLE"
"PRES","LINK"
"Доп_угли_1135","LINK"
"Доп_угли_1135(до_2005)","LINK"
"Доп_угли_1135_новый","LINK"
"Доп_угли_1135_новый(тест)","LINK"
"ОРГРЭС98","LINK"
"перетоки_табл","LINK"
"РЭУ91(режимы)","LINK"
"РЭУ95(режимы)","LINK"
"Списки_агрегатов_25-30","LINK"
"Станции(Схема)_22-28","LINK"
"Станции_ЕНЭС","LINK"
"Станции1135_новый","LINK"
"станции91(режимы)","LINK"
"станции95(режимы)","LINK"
"Удельные(Схема)","LINK"
"MSysACEs","SYSTEM TABLE"
"MSysObjects","SYSTEM TABLE"
"MSysQueries","SYSTEM TABLE"
"MSysRelationships","SYSTEM TABLE"
"GTD","TABLE"
"Knt","TABLE"
"KOEFF","TABLE"
"KOEFF_до 2019 года","TABLE"
"main","TABLE"
"ManufG","TABLE"
"ManufK","TABLE"
"ManufP","TABLE"
"sumvar","TABLE"
"work","TABLE"
"АПБ_2009","TABLE"
"АПБ_E_2009","TABLE"
"АПБ_EURT_2009","TABLE"
"АПБ_EWTP_2009","TABLE"
"АПБ_буфер","TABLE"
"АПБ-ОТЭТ","TABLE"
"вед_сост_стан","TABLE"
"Ведомства-для-составных-станций","TABLE"
"Волга2021","TABLE"
"Восстановление ПГ","TABLE"
"Восток2021","TABLE"
"Выбросы ЗВ","TABLE"
"Выбросы ЗВ_копия","TABLE"
"Выбросы ПГ","TABLE"
"Выбросы ПГ_копия","TABLE"
"Выбросы ПГ_копия2","TABLE"
"Газ-Уголь(список)","TABLE"
"Генераторы","TABLE"
"Годы_переходник","TABLE"
"Города","TABLE"
"Дефициты","TABLE"
"Для_котлов","TABLE"
"Доп_угли(95-97)","TABLE"
"Доп_угли(архив)","TABLE"
"Доп_угли(архив)_крпия апрель 2024","TABLE"
"Доп_угли(макет)","TABLE"
"Доп_угли1990","TABLE"
"Доп_угли2000","TABLE"
"Доп_угли2001","TABLE"
"Доп_угли2002","TABLE"
"Доп_угли2003","TABLE"
"Доп_угли2004","TABLE"
"Доп_угли2005","TABLE"
"Доп_угли2006","TABLE"
"Доп_угли2007","TABLE"
"Доп_угли2008","TABLE"
"Доп_угли2009","TABLE"
"Доп_угли2010","TABLE"
"Доп_угли2011","TABLE"
"Доп_угли2012","TABLE"
"Доп_угли2013","TABLE"
"Доп_угли2014","TABLE"
"Доп_угли2015","TABLE"
"Доп_угли2016","TABLE"
"Доп_угли2017","TABLE"
"Доп_угли2018","TABLE"
"Доп_угли2019","TABLE"
"Доп_угли2020","TABLE"
"Доп_угли2021","TABLE"
"Доп_угли2022","TABLE"
"Доп_угли2023","TABLE"
"Доп_угли2024","TABLE"
"Затраты_2018","TABLE"
"Затраты_2018_2","TABLE"
"Затраты_2019","TABLE"
"Затраты_2020","TABLE"
"Затраты_2021","TABLE"
"Затраты_2022","TABLE"
"Затраты_2023","TABLE"
"Затраты_топливо_2021","TABLE"
"И1_Поясные_расстояния","TABLE"
"имена_БЕ","TABLE"
"имена_ГК","TABLE"
"имена_ГК_старый","TABLE"
"Имена_департаментов","TABLE"
"Имена_затраты","TABLE"
"Имена_областей","TABLE"
"Имена_областей_до изм","TABLE"
"Имена_ОЭС","TABLE"
"Имена_станций","TABLE"
"Имена_станций_broken","TABLE"
"Имена_станций_до форэм","TABLE"
"Имена_станций_сломан","TABLE"
"Имена_станций_старый","TABLE"
"Имена_эк_районов","TABLE"
"Имена-итогов","TABLE"
"Имена-оборуд","TABLE"
"Классификтор_топлива","TABLE"
"Конфигурации","TABLE"
"Копия ""Станции2011""","TABLE"
"Котлы","TABLE"
"Котлы-утилизаторы","TABLE"
"Кп3т2","TABLE"
"Москва и МО","TABLE"
"Натура99","TABLE"
