type	type1	type2	nmin	nmax	snk	sntp	bk	btp	bt	y	bbas	Kh	ordtype
ГТ-20	ГТУ-20С	ГТ	20	20			360				0		4
ГТ-25		ГТ	25	25	2		360				0		4
ГТ-28	LM-2500+	ГТ	27	28.5	2		330				0		4
ГТ-40		ГТ	40	40	2		360				0		4
ГТ-43	LM6000	ГТ	43	43	2		310				0		4
ГТ-65	ГТЭ-65	ГТ	65	70	2		350				0		4
ГТ-110	ГТЭ-110	ГТ	110	110	2		360				0		4
ГТ-180	ГТЭ-180	ГТ	180	180	2		360				0		4
ГТ-250	ГТЭ-250	ГТ	250	300	2		340				0		4
ГТ(Т)-2,5	ЭГ-2500	ГТ(Т)	2.5	2.5	1.6	0.95	530	260	130	450	0		1
ГТ(Т)-4	Урал-4000	ГТ(Т)	4	4	1.6	0.95	510	260	130	500	0		1
ГТ(Т)-6	Урал-6000	ГТ(Т)	6	6	1.6	0.95	470	210	130	500	0		1
ГТ(Т)-6	ГТУ-6РМ	ГТ(Т)	6	6	1.6	0.95	550	300	130	500	0		1
ГТ(Т)-6	ЭГ-6000	ГТ(Т)	6	6	1.6	0.95	410	240	130	750	0		1
ГТ(Т)-8	ГТУ-8РМ	ГТ(Т)	8	8	1.6	0.95	530	290	130	500	0		1
ГТ(Т)-10	ГТЭ-10/95	ГТ(Т)	10	10	2	0.95	440	250	130	650	0		1
ГТ(Т)-10	НК-14ЭБР	ГТ(Т)	10	10	2	0.95	400	250	130	800	0		1
ГТ(Т)-12	ГТЭС-12П	ГТ(Т)	12	12	2	0.95	370	190	130	700	0		1
ГТ(Т)-16	ГТЭС-16П(Искра)	ГТ(Т)	16	16	2	0.95	340	180	130	750	0		1
ГТ(Т)-16	ГТЭ-16(ТМЗ)	ГТ(Т)	16	16	2	0.95	420	250	130	700	0		1
ГТ(Т)-16	ГТГ-15+ГПСВ или П-86(НПО Заря)	ГТ(Т)	15.8	16	2	0.95	410	215	130	650	0		1
ГТ(Т)-16	ГТЭ-16ПА + КУВ-20	ГТ(Т)	16	16	2	0.95	370	200	130	800	0		1
ГТ(Т)-17	GT-35+КУ	ГТ(Т)	17	17	2	0.95	400	220	130	700	0		1
ГТ(Т)-25	НК-37+КУ	ГТ(Т)	25	25	3.5	0.96	390	220	130	900	0		1
ГТ(Т)-25	ГТЭС-25П	ГТ(Т)	25	25	2	0.95	320	180	130	900	0		1
ГТ(Т)-28	LM-2500+КУ	ГТ(Т)	28	29	2	0.05	330	190	130	750	0		1
ГТ(Т)-30	НК-37+КУ-1	ГТ(Т)	30	30	5	0.93	350	210	130	900	0		1
ГТ(Т)-30	ГТЭ-25У(ТМЗ)	ГТ(Т)	30	31.5	2	0.95	390	210	130	700	0		1
ГТ(Т)-43	GTX100+КУ	ГТ(Т)	43	43	2	0.95	340	190	130	750	0		1
ГТ(Т)-43	LM6000+КУ	ГТ(Т)	43	43	2	0.95	310	190	130	750	0		1
