name	alias	wname	uname	dopname	stoimname	toplsib	topleur	toplvos	years	byear
2023	2023	Станции2023		Доп_угли2023	Стоимость2023				2023	0
архив	архив	Станции(архив)		Доп_угли(архив)	Стоимость(архив)				1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999	
2002	2002	Станции2002		Доп_угли2002	Стоимость2002				2002	
2003	2003	Станции2003		Доп_угли2003	Стоимость2003				2003	
2004	2004	Станции2004		Доп_угли2004	Стоимость2004				2004	0
2005	2005	Станции2005		Доп_угли2005	Стоимость2005				2005	0
2006	2006	Станции2006		Доп_угли2006	Стоимость2006				2006	0
2007	2007	Станции2007		Доп_угли2007	Стоимость2007				2007	0
2008	2008	Станции2008		Доп_угли2008	Стоимость2008				2008	0
2009	2009	Станции2009		Доп_угли2009	Стоимость2009				2009	0
2010	2010	Станции2010		Доп_угли2010	Стоимость2010				2010	0
2011	2011	Станции2011		Доп_угли2011	Стоимость2011				2011	0
2012	2012	Станции2012		Доп_угли2012	Стоимость2012				2012	0
2013	2013	Станции2013		Доп_угли2013	Стоимость2013				2013	0
2014	2014	Станции2014		Доп_угли2014	Стоимость2014				2014	0
2015	2015	Станции2015		Доп_угли2015	Стоимость2015				2015	0
2016	2016	Станции2016		Доп_угли2016	Стоимость2016				2016	0
2017	2017	Станции2017		Доп_угли2017	Стоимость2017				2017	0
2018	2018	Станции2018		Доп_угли2018	Стоимость2018				2018	0
2019	2019	Станции2019		Доп_угли2019	Стоимость2019				2019	0
2020	2020	Станции2020		Доп_угли2020	Стоимость2020				2020	0
2021	2021	Станции2021		Доп_угли2021	Стоимость2021				2021	0
2022	2022	Станции2022		Доп_угли2022	Стоимость2022				2022	0
2024	2024	Станции2024		Доп_угли2024	Стоимость2024				2024	0
1990	1990	Станции1990		Доп_угли1990	Стоимость1990				1990	
